t0	24-Sep-20  16:19:33.393727
delta t	6.000000E-7

time	Y
24-Sep-20  16:19:33.393927	-0.335937
24-Sep-20  16:19:33.393927	-0.330811
24-Sep-20  16:19:33.393928	-0.326660
24-Sep-20  16:19:33.393928	-0.322754
24-Sep-20  16:19:33.393929	-0.318604
24-Sep-20  16:19:33.393930	-0.314697
24-Sep-20  16:19:33.393930	-0.310303
24-Sep-20  16:19:33.393931	-0.305908
24-Sep-20  16:19:33.393931	-0.301270
24-Sep-20  16:19:33.393932	-0.296631
24-Sep-20  16:19:33.393933	-0.292480
24-Sep-20  16:19:33.393933	-0.288330
24-Sep-20  16:19:33.393934	-0.283691
24-Sep-20  16:19:33.393934	-0.278809
24-Sep-20  16:19:33.393935	-0.273682
24-Sep-20  16:19:33.393936	-0.268311
24-Sep-20  16:19:33.393936	-0.263672
24-Sep-20  16:19:33.393937	-0.259277
24-Sep-20  16:19:33.393937	-0.254883
24-Sep-20  16:19:33.393938	-0.250244
24-Sep-20  16:19:33.393939	-0.245361
24-Sep-20  16:19:33.393939	-0.240967
24-Sep-20  16:19:33.393940	-0.236572
24-Sep-20  16:19:33.393940	-0.232178
24-Sep-20  16:19:33.393941	-0.227783
24-Sep-20  16:19:33.393942	-0.223877
24-Sep-20  16:19:33.393942	-0.219482
24-Sep-20  16:19:33.393943	-0.215332
24-Sep-20  16:19:33.393943	-0.211182
24-Sep-20  16:19:33.393944	-0.206787
24-Sep-20  16:19:33.393945	-0.202637
24-Sep-20  16:19:33.393945	-0.198242
24-Sep-20  16:19:33.393946	-0.193359
24-Sep-20  16:19:33.393946	-0.188721
24-Sep-20  16:19:33.393947	-0.184570
24-Sep-20  16:19:33.393948	-0.179932
24-Sep-20  16:19:33.393948	-0.174805
24-Sep-20  16:19:33.393949	-0.169922
24-Sep-20  16:19:33.393949	-0.165039
24-Sep-20  16:19:33.393950	-0.159912
24-Sep-20  16:19:33.393951	-0.155518
24-Sep-20  16:19:33.393951	-0.150635
24-Sep-20  16:19:33.393952	-0.145996
24-Sep-20  16:19:33.393952	-0.141846
24-Sep-20  16:19:33.393953	-0.136963
24-Sep-20  16:19:33.393954	-0.132324
24-Sep-20  16:19:33.393954	-0.127930
24-Sep-20  16:19:33.393955	-0.123535
24-Sep-20  16:19:33.393955	-0.119629
24-Sep-20  16:19:33.393956	-0.115723
24-Sep-20  16:19:33.393957	-0.111572
24-Sep-20  16:19:33.393957	-0.107178
24-Sep-20  16:19:33.393958	-0.102783
24-Sep-20  16:19:33.393958	-0.098145
24-Sep-20  16:19:33.393959	-0.093750
24-Sep-20  16:19:33.393960	-0.089600
24-Sep-20  16:19:33.393960	-0.085449
24-Sep-20  16:19:33.393961	-0.080566
24-Sep-20  16:19:33.393961	-0.075439
24-Sep-20  16:19:33.393962	-0.070068
24-Sep-20  16:19:33.393963	-0.065430
24-Sep-20  16:19:33.393963	-0.060791
24-Sep-20  16:19:33.393964	-0.056396
24-Sep-20  16:19:33.393964	-0.052002
24-Sep-20  16:19:33.393965	-0.047119
24-Sep-20  16:19:33.393966	-0.042480
24-Sep-20  16:19:33.393966	-0.037842
24-Sep-20  16:19:33.393967	-0.033203
24-Sep-20  16:19:33.393967	-0.029053
24-Sep-20  16:19:33.393968	-0.025146
24-Sep-20  16:19:33.393969	-0.020996
24-Sep-20  16:19:33.393969	-0.017090
24-Sep-20  16:19:33.393970	-0.014893
24-Sep-20  16:19:33.393970	-0.010498
24-Sep-20  16:19:33.393971	-0.006592
24-Sep-20  16:19:33.393972	-0.002686
24-Sep-20  16:19:33.393972	0.001953
24-Sep-20  16:19:33.393973	0.006592
24-Sep-20  16:19:33.393973	0.011230
24-Sep-20  16:19:33.393974	0.015869
24-Sep-20  16:19:33.393975	0.020752
24-Sep-20  16:19:33.393975	0.025391
24-Sep-20  16:19:33.393976	0.030518
24-Sep-20  16:19:33.393976	0.035645
24-Sep-20  16:19:33.393977	0.040283
24-Sep-20  16:19:33.393978	0.044922
24-Sep-20  16:19:33.393978	0.049561
24-Sep-20  16:19:33.393979	0.054199
24-Sep-20  16:19:33.393979	0.058350
24-Sep-20  16:19:33.393980	0.063232
24-Sep-20  16:19:33.393981	0.067871
24-Sep-20  16:19:33.393981	0.072510
24-Sep-20  16:19:33.393982	0.076172
24-Sep-20  16:19:33.393982	0.080322
24-Sep-20  16:19:33.393983	0.084229
24-Sep-20  16:19:33.393984	0.088379
24-Sep-20  16:19:33.393984	0.093262
24-Sep-20  16:19:33.393985	0.097656
24-Sep-20  16:19:33.393985	0.102051
24-Sep-20  16:19:33.393986	0.106689
24-Sep-20  16:19:33.393987	0.111084
24-Sep-20  16:19:33.393987	0.114746
24-Sep-20  16:19:33.393988	0.119629
24-Sep-20  16:19:33.393988	0.125244
24-Sep-20  16:19:33.393989	0.130371
24-Sep-20  16:19:33.393990	0.135254
24-Sep-20  16:19:33.393990	0.139648
24-Sep-20  16:19:33.393991	0.144043
24-Sep-20  16:19:33.393991	0.148682
24-Sep-20  16:19:33.393992	0.153320
24-Sep-20  16:19:33.393993	0.157959
